,price,address,house_type,bedroom
116,"£62,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Lynas House, Athenaeum Street,
Sunderland,
SR1 1NA",Apartment,×1
117,"£105,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","582 Durham Road,
Low Fell,
Gateshead,
NE9 6HX",Flat,×3
118,"£154,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","16 North Terrace
Seaham
SR7 7EU ",Semi-Detached,×2
119,"£195,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","21, Athenaeum Street,
Sunderland,
SR1 1DH",Semi-Detached,×3
120,"£125,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","46 Windsor Terrace, Ryhope Road, Grangetown,
Sunderland,
SR2 9QF",Semi-Detached,×3
121,"£209,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","St Benedicts Way,
Ryhope,
Sunderland,
Tyne and Wear
SR2 0NY",Semi-Detached,×3
122,"£230,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","21a Lowthian Terrace, Columbia, Washington, Tyne and Wear, NE38 7BA",Detached,×4
123,"£135,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","120 High Street
Gosforth
Newcastle Upon Tyne
NE3 1HB",Apartment,×1
124,"£150,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","  
 
2a Hawkeys Lane
North Shields
NE29 0JF 
 ",Apartment,×1
125,"£344,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Lodgeside Meadow,
Sunderland,
SR3 2PN",Detached,×4
126,"£85,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","4A Athenaeum Street,
Sunderland,
SR1 1QX",Flat,×2
127,"£202,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×3
128,"£129,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","2A Station Terrace,
East Boldon,
Tyne & Wear
NE36 0LJ",Terraced,×2
129,"£115,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","46 Windsor Terrace, Ryhope Road, Grangetown,
Sunderland,
SR2 9QF",Semi-Detached,×2
130,"£256,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×4
131,"£274,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×4
132,"£260,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","2A Station Terrace,
East Boldon,
Tyne & Wear
NE36 0LJ",Terraced,×2
133,"£90,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","3 Northumberland Place,
North Shields,
NE30 1QP",Ground Flat,×2
134,"£389,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1 Station Terrace,
East Boldon,
NE36 0LJ",Semi-Detached Bungalow,×2
135,"£185,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Signature House, 3 Azure Court, 
Doxford International Business Park, Sunderland
SR3 3BE",Semi-Detached Bungalow,×2
136,"£224,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×3
137,"£249,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","64 Sea Road,
Fulwell,
Sunderland,
SR6 9DB",Semi-Detached,×4
138,"£299,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×4
139,"£110,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Unit 1
20 Viking Precinct,
Jarrow,
NE32 3LQ",Terraced,×3
140,"£234,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×3
141,"£102,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","44 Sea Road,
Sunderland,
SR6 9BX",Terraced,×3
142,"£170,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","96-98 Fowler St, 
South Shields,
Tyne and Wear,
NE33 5PD",Semi-Detached,×3
143,"£135,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Unit 1
20 Viking Precinct,
Jarrow,
NE32 3LQ",Terraced,×3
144,"£175,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","22 Athenaeum Street,
Sunderland,
SR1 1DH",Apartment,×2
145,"£244,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×3
146,"£135,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","48-49 The Galleries Washington Centre, Washington, Tyne and Wear, NE38 7SD",Terraced,×3
147,"£85,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","67 Ellison Street,
Jarrow,
NE32 3JU",Flat,×2
148,"£85,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","67 Ellison Street,
Jarrow,
NE32 3JU",Flat,×2
149,"£139,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","122 Fowler Street,
South Shields,
NE33 1PZ",Terraced,×3
150,"£145,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","  
 
2a Hawkeys Lane
North Shields
NE29 0JF 
 ",Terraced,×3
151,"£214,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","51 Fawcett Street,
Sunderland,
SR1 1RS",Semi-Detached,×3
152,"£60,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","21, Athenaeum Street,
Sunderland,
SR1 1DH",Terraced Bungalow,×3
153,"£206,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Hartleyburn Avenue,
Hebburn,
NE31",Detached,×4
154,"£206,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Hartleyburn Avenue,
Hebburn,
NE31",Detached,×4
155,"£322,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Hartleyburn Avenue,
Hebburn,
NE31",Detached,×4
156,"£320,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Hartleyburn Avenue,
Hebburn,
NE31",Detached,×4
157,"£317,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Hartleyburn Avenue,
Hebburn,
NE31",Detached,×4
158,"£248,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Hartleyburn Avenue,
Hebburn,
NE31",Semi-Detached,×3
159,"£225,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Hartleyburn Avenue,
Hebburn,
NE31",Semi-Detached,×3
160,"£125,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","582 Durham Road,
Low Fell,
Gateshead,
NE9 6HX",Link Detached House,×3
161,"£249,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","15 Sea Road,
Sunderland,
SR6 9BS",Semi-Detached,×3
162,"£79,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","21, Athenaeum Street,
Sunderland,
SR1 1DH",Terraced,×3
163,"£130,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","7 Charlotte Terrace,
South Shields,
NE33 4NU",Terraced,×3
164,"£110,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","3 Northumberland Place,
North Shields,
NE30 1QP",Ground Flat,×2
165,"£269,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","122 Fowler Street,
South Shields,
NE33 1PZ",Bungalow,×2
166,"£166,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Campbell Park Road, Hebburn,
NE31 2SL",House,×2
